Date,Day,Bedtime,Waketime,Sleep Length,Bedtime Temp,Perceived Temp,Dream,Wake Freq,Waked by Wife,Wife Nocturia,Sleep Quality Level,Slept Well,Meta Data
6/4/22,Sat,12:40 AM,8:00 AM,7:20,29.4 ,Cold,Remember,1 ,Yes,Yes,1 ,-1,"Dreamt about war, vivd and frightening"
6/5/22,Sun,12:30 AM,7:30 AM,7:00,29.8 ,Fine,Forgot,0 ,No,Yes,3 ,-1,
6/6/22,Mon,11:50 PM,7:30 AM,7:40,29.4 ,Fine,Forgot,0 ,No,Yes,5 ,1,
6/7/22,Tue,11:30 PM,8:10 AM,8:40,29.8 ,Fine,Forgot,1 ,Yes,Yes,5 ,1,Rolled over and squeezed wife off bed; Woke by the light from outside the bedroom door when wife got out for a mattress
6/8/22,Wed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6/9/22,Thurs,12:40 AM,8:00 AM,7:20,29.0 ,Fine,Forgot,0 ,No,Yes,7 ,1,
6/10/22,Fri,10:50 PM,8:20 AM,9:30,28.0 ,Fine,Forgot,0 ,No,Yes,3 ,-1,
6/11/22,Sat,12:40 AM,9:00 AM,8:20,28.0 ,Cold,Forgot,3 ,No,Yes,3 ,-1,Woke up because feeling cold
6/12/22,Sun,12:30 AM,9:00 AM,8:30,28.0 ,Fine,Forgot,0 ,No,Yes,1 ,-1,Held back urine untill awake in the morning
6/13/22,Mon,11:30 PM,7:30 AM,8:00,28.0 ,Fine,Forgot,0 ,No,Yes,1 ,-1,
6/14/22,Tue,10:30 PM,8:00 AM,9:30,29.0 ,Cold,Remember,1 ,No,Yes,3 ,-1,Dreamt a frightening dream and felt cold
6/15/22,Wed,12:00 AM,8:30 AM,8:30,29.0 ,Fine,Forgot,0 ,No,Yes,5 ,-1,
6/16/22,Thurs,12:00 AM,8:00 AM,8:00,29.0 ,Fine,Forgot,1 ,Yes,Yes,7 ,1,Slept on wife's quilt and got woke up when wife took back her quilt
6/17/22,Fri,11:30 PM,7:30 AM,8:00,29.0 ,Fine,Forgot,0 ,No,Yes,0 ,-1,
6/18/22,Sat,11:30 PM,8:00 AM,8:30,29.7 ,Fine,Forgot,0 ,No,Yes,1 ,-1,
6/19/22,Sun,2:20 AM,7:30 AM,5:10,29.8 ,Cold,Forgot,0 ,No,Yes,5 ,1,Went jogging at night with wife
6/20/22,Mon,11:30 PM,9:10 AM,9:40,30.1 ,Cold,Forgot,0 ,No,Yes,2 ,-1,
